name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,log_kms_driven
Harley-Davidson Street Bob,750000,11,1,0,12000,1278000.0,9.392745258631441
Hero Honda CBZ extreme,20000,17,1,0,90000,87958.71405750798,11.407576060361786
Royal Enfield Classic Gunmetal Grey,190000,4,1,0,500,155740.0,6.2166061010848646
KTM 390 Duke ABS [2013-2016],130000,9,1,0,50000,202127.0,10.819798284210286
Honda CB Hornet 160R,54786,8,1,0,25000,88161.0,10.12667110305036
KTM 200 Duke,72000,11,1,0,36500,87958.71405750798,10.505094936455558
Hero Karizma 2014,35000,11,1,0,26000,86744.0,10.165890277802454
Hero Glamour 125,45000,7,1,0,18000,61600.0,9.798182590890704
Royal Enfield Classic 350,85000,11,1,0,49000,87958.71405750798,10.799595985047786
Royal Enfield Classic 500,100000,11,1,0,18000,156304.0,9.798182590890704
Bajaj Dominar 400,138000,7,1,0,15000,87958.71405750798,9.61587214452889
Royal Enfield Thunderbird 350X,150000,6,1,0,8500,87958.71405750798,9.04793908261736
KTM RC 390,180000,7,1,0,3775,87958.71405750798,8.236420527265391
Royal Enfield Thunderbird 350,100000,9,1,0,14500,87958.71405750798,9.581972891547895
Hero Hunk,20000,14,1,0,35000,78513.0,10.463131911491967
KTM 390 Duke,170000,7,1,0,14000,87958.71405750798,9.546884034617925
Suzuki Gixxer [2014-2018],60000,8,1,0,16000,84246.0,9.680406499268875
Royal Enfield Bullet 350,123000,8,1,0,7000,87958.71405750798,8.853808274977197
Suzuki Access 125,60000,7,1,0,4000,87958.71405750798,8.294299608857235
TVS Apache RTR 200 4V,100000,7,1,0,45000,87958.71405750798,10.714439990727769
Hero Xtreme Sports,22000,10,1,0,99000,78350.0,11.502885230075814
Honda Activa [2000-2015],30000,10,1,0,52000,50267.0,10.859018228147887
Bajaj Discover 125,28000,11,1,0,45000,60122.0,10.714439990727769
Bajaj Pulsar 150,50000,17,1,0,52000,87958.71405750798,10.859018228147887
Yamaha Saluto RX,40000,7,1,0,27000,49521.0,10.203629181337648
Hero HF Deluxe,43000,6,1,0,60000,87958.71405750798,11.002116507732017
Suzuki Access 125,40000,9,1,0,2300,87958.71405750798,7.741099090035366
Royal Enfield Classic Desert Storm,100000,12,1,0,15000,181445.0,9.61587214452889
Hero HF Deluxe,30000,8,1,0,50000,87958.71405750798,10.819798284210286
KTM RC 200,130000,7,1,0,27000,87958.71405750798,10.203629181337648
